,id,label,tokenized
0,9976970,0,"['아', '더빙', '진짜', '짜증나다', '목소리']"
1,3819312,1,"['흠', '포스터', '보고', '초딩', '영화', '줄', '오버', '연기', '조차', '가볍다', '않다']"
2,10265843,0,"['너', '무재', '밓었', '다그', '래서', '보다', '추천', '다']"
3,9045019,0,"['교도소', '이야기', '구먼', '솔직하다', '재미', '없다', '평점', '조정']"
4,6483659,1,"['사이', '몬페', '그', '익살스럽다', '연기', '돋보이다', '영화', '스파이더맨', '에서', '늙다', '보이다', '커스틴', '던스트', '너무나도', '이쁘다', '보이다']"
5,5403919,0,"['막', '걸음', '마', '떼다', '세', '부터', '초등학교', '학년', '생인', '살다', '영화', 'ㅋㅋㅋ', '별', '반개', '아깝다', '움']"
6,7797314,0,"['원작', '긴장감', '을', '제대로', '살리다']"
7,9443947,0,"['별', '반개', '아깝다', '욕', '나오다', '이응경', '길용우', '연', '기', '생활', '몇', '년', '인지', '정말', '발', '로', '해도', '그것', '보단', '낫다', '납치', '감금', '만', '반복', '반복', '드라마', '가족', '없다', '연기', '못', '사람', '만', '모', '엿', '네']"
8,7156791,1,"['액션', '없다', '재미', '있다', '몇', '안되다', '영화']"
9,5912145,1,"['왜케', '평점', '낮다', '꽤', '볼', '만', '데', '헐리우드', '식', '화려하다', '너무', '길들이다', '있다']"
10,9008700,1,"['인피니트', '짱', '이다', '진짜', '짱', '이다']"
11,10217543,1,"['볼때', '마다', '눈물나다', '죽다', '년대', '향수', '극', '허진호', '감성', '절제', '멜로', '달인', '이다']"
12,5957425,0,"['울면', '서', '손', '고', '횡단보도', '건너다', '때', '뛰다', '치다', '올', '뻔', '이범수', '연기', '드럽다', '못']"
13,8628627,1,"['담백하다', '깔끔하다', '좋다', '신', '문', '기', '사', '로만', '보다', '보다', '자꾸', '잊어버리다', '그', '사람', '이다', '것', '을']"
14,9864035,0,"['취향', '존중', '다지', '만', '진짜', '내생', '극장', '에서', '보다', '영화', '중', '가장', '노잼', '노', '감동', '임', '스토리', '어거지', '고', '감동', '어거지']"
15,6852435,1,"['ㄱ', '냥', '매번', '긴장', '되다', '재밋음', 'ㅠㅠ']"
16,9143163,1,"['차다', '사람', '웃기다', '바스코', '이기', '면', '락스', '코', '라고', '끄다', '바비', '이기', '면', '아이돌', '이라고', '깔다', '다그', '냥', '끄다', '안달', '난', '것', '처럼', '보이다']"
17,4891476,0,"['굿바이', '레닌', '표절', '인', '것', '이해', '왜', '뒤', '로', '갈수록', '재미', '없어지다']"
18,7465483,1,"['이건', '정말', '깨알', '캐스팅', '질퍽', '하', '지', '않다', '산뜻하다', '내', '용구성', '자다', '버무러진', '깨알', '일드']"
19,3989148,1,"['약탈', '위', '변명', '이르다', '저', '놈', '착하다', '놈', '절대', '아니다', '걸', '요']"
20,4581211,1,"['나름', '심오하다', '뜻', '있다', '듯', '그냥', '학생', '선생', '놀다', '영화', '절대', '아니다']"
21,2718894,1,"['보다', '웃다', '않다', '건', '불가능하다']"
